"user_name","word","interpret","likes","hates","score"
"firefly forest","active-matrix","主动矩阵",0,0,0.0002
"firefly forest","adapter cards","适配卡",0,0,0.0002
"firefly forest","advanced application","高级应用",0,0,0.0002
"firefly forest","analytical graph","分析图表",0,0,0.0002
"firefly forest","analyze","分析",0,0,0.0002
"firefly forest","animations","动画",0,0,0.0002
"firefly forest","application software ","应用软件",0,0,0.0002
"firefly forest","arithmetic operations","算术运算",0,0,0.0002
"firefly forest","audio-output device","音频输出设备",0,0,0.0002
"firefly forest","access time","存取时间",0,0,0.0002
"firefly forest","access","存取",0,0,0.0002
"firefly forest","accuracy","准确性",0,0,0.0002
"firefly forest","ad network cookies","广告网络信息记录软件",0,0,0.0002
"firefly forest","add-ons ","插件",0,0,0.0002
"firefly forest","address","地址",0,0,0.0002
"firefly forest","agents","代理",0,0,0.0002
"firefly forest","analog signals","模拟信号",0,0,0.0002
"firefly forest","applets","程序",0,0,0.0002
"firefly forest","asynchronous communications port","异步通信端口",0,0,0.0002
"firefly forest","attachment","附件",0,0,0.0002
"firefly forest","bar code","条形码",0,0,0.0002
"firefly forest","bar code reader","条形码读卡器",0,0,0.0002
"firefly forest","basic application","基础程序",0,0,0.0002
"firefly forest","binary coding schemes","二进制译码方案",0,0,0.0002
"firefly forest","binary system","二进制系统",0,0,0.0002
"firefly forest","bit","比特",0,0,0.0002
"firefly forest","browser","浏览器",0,0,0.0002
"firefly forest","bus line","总线",0,0,0.0002
"firefly forest","backup tape cartridge units","备份磁带盒单元",0,0,0.0002
"firefly forest","bandwidth","带宽",0,0,0.0002
"firefly forest","bluetooth","蓝牙",0,0,0.0002
"firefly forest","broadband","宽带",0,0,0.0002
"firefly forest","business-to-business","企业对企业电子商务",0,0,0.0002
"firefly forest","business-to-consumer","企业对消费者",0,0,0.0002
"firefly forest","bus","总线",0,0,0.0002
"firefly forest","cables","连线",0,0,0.0002
"firefly forest","cell","单元箱",0,0,0.0002
"firefly forest","chain printer","链式打印机",0,0,0.0002
"firefly forest","character and recognition device","字符标识识别设备",0,0,0.0002
"firefly forest","chart","图表",0,0,0.0002
"firefly forest","chassis","支架",0,0,0.0002
"firefly forest","chip","芯片",0,0,0.0002
"firefly forest","clarity","清晰度",0,0,0.0002
"firefly forest","closed architecture","封闭式体系结构",0,0,0.0002
"firefly forest","column","列",0,0,0.0002
"firefly forest","combination key","结合键",0,0,0.0002
"firefly forest","computer competency","计算机能力",0,0,0.0002
"firefly forest","connectivity","连接，结点",0,0,0.0002
"firefly forest","continuous-speech recognition system","连续语言识别系统",0,0,0.0002
"firefly forest","control unit","操纵单元",0,0,0.0002
"firefly forest","cordless or wireless mouse","无线鼠标",0,0,0.0002
"firefly forest","cable modems","有线调制解调器",0,0,0.0002
"firefly forest","carpal tunnel syndrome","腕骨神经综合症",0,0,0.0002
"firefly forest","cd-rom","可记录光盘",0,0,0.0002
"firefly forest","cd-rw","可重写光盘",0,0,0.0002
"firefly forest","cd-r","可记录压缩光盘",0,0,0.0002
"firefly forest","channel","信道",0,0,0.0002
"firefly forest","chat group","谈话群组",0,0,0.0002
"firefly forest","chlorofluorocarbons(cfcs) ","]氯氟甲烷",0,0,0.0002
"firefly forest","client","客户端",0,0,0.0002
"firefly forest","coaxial cable","同轴电缆",0,0,0.0002
"firefly forest","cold site","冷网站",0,0,0.0002
"firefly forest","commerce servers","商业服务器",0,0,0.0002
"firefly forest","communication channel","信道",0,0,0.0002
"firefly forest","communication systems","信息系统",0,0,0.0002
"firefly forest","compact disc rewritable","",0,0,0.0002
"firefly forest","compact disc","光盘",0,0,0.0002
"firefly forest","computer abuse amendments act of 19941994","计算机滥用法案",0,0,0.0002
"firefly forest","computer crime","计算机犯罪",0,0,0.0002
"firefly forest","computer ethics","计算机道德",0,0,0.0002
"firefly forest","computer fraud and abuse act of 1986","计算机欺诈和滥用法案",0,0,0.0002
"firefly forest","computer matching and privacy protection act of 1988","计算机查找和隐私保护法案",0,0,0.0002
"firefly forest","computer network","计算机网络",0,0,0.0002
"firefly forest","computer support specialist","计算机支持专家",0,0,0.0002
"firefly forest","computer technician","计算机技术人员",0,0,0.0002
"firefly forest","computer trainer","计算机教师",0,0,0.0002
"firefly forest","connection device","连接设备",0,0,0.0002
"firefly forest","connectivity","连接",0,0,0.0002
"firefly forest","consumer-to-consumer","个人对个人",0,0,0.0002
"firefly forest","cookies-cutter programs","信息记录截取程序",0,0,0.0002
"firefly forest","cookies","信息记录程序",0,0,0.0002
"firefly forest","cracker","解密高手",0,0,0.0002
"firefly forest","cumulative trauma disorder","积累性损伤错乱",0,0,0.0002
"firefly forest","cybercash","电子现金",0,0,0.0002
"firefly forest","cyberspace","计算机空间",0,0,0.0002
"firefly forest","cynic","愤世嫉俗者",0,0,0.0002
"firefly forest","database","数据库",0,0,0.0002
"firefly forest","database files","数据库文件",0,0,0.0002
"firefly forest","database manager","数据库管理",0,0,0.0002
"firefly forest","data bus","数据总线",0,0,0.0002
"firefly forest","data projector","数码放映机",0,0,0.0002
"firefly forest","desktop system unit","台式电脑系统单元",0,0,0.0002
"firefly forest","destination file","目标文件",0,0,0.0002
"firefly forest","digital cameras","数码照相机",0,0,0.0002
"firefly forest","digital notebooks","数字笔记本",0,0,0.0002
"firefly forest","digital bideo camera","数码摄影机",0,0,0.0002
"firefly forest","discrete-speech recognition system","不连续语言识别系统",0,0,0.0002
"firefly forest","document","文档",0,0,0.0002
"firefly forest","document files","文档文件",0,0,0.0002
"firefly forest","dot-matrix printer","点矩阵式打印机",0,0,0.0002
"firefly forest","dual-scan monitor","双向扫描显示器",0,0,0.0002
"firefly forest","dumb terminal","非智能终端",0,0,0.0002
"firefly forest","data security","数据安全",0,0,0.0002
"firefly forest","data transmission specifications","数据传输说明",0,0,0.0002
"firefly forest","database administrator","数据库管理员",0,0,0.0002
"firefly forest","dataplay","数字播放器",0,0,0.0002
"firefly forest","demodulation","解调",0,0,0.0002
"firefly forest","denial of service attack","拒绝服务攻击",0,0,0.0002
"firefly forest","dial-up service","拨号服务",0,0,0.0002
"firefly forest","digital cash","数字现金",0,0,0.0002
"firefly forest","digital signals","数字信号",0,0,0.0002
"firefly forest","digital subscriber line","数字用户线路",0,0,0.0002
"firefly forest","digital versatile disc","数字化通用磁盘",0,0,0.0002
"firefly forest","digital video disc","数字化视频光盘",0,0,0.0002
"firefly forest","direct access","直接存取",0,0,0.0002
"firefly forest","directory search","目录搜索",0,0,0.0002
"firefly forest","disaster recovery plan","灾难恢复计划",0,0,0.0002
"firefly forest","disk caching","磁盘驱动器高速缓存",0,0,0.0002
"firefly forest","diskette","磁盘",0,0,0.0002
"firefly forest","disk","磁碟",0,0,0.0002
"firefly forest","distributed data processing system","分部数据处理系统",0,0,0.0002
"firefly forest","distributed processing","分布处理",0,0,0.0002
"firefly forest","domain code","域代码",0,0,0.0002
"firefly forest","downloading","下载",0,0,0.0002
"firefly forest","dvd ","数字化通用磁盘",0,0,0.0002
"firefly forest","dvd-r dvd","可写",0,0,0.0002
"firefly forest","dvd-ram dvd","随机存取器",0,0,0.0002
"firefly forest","dvd-rom dvd","只读",0,0,0.0002
"firefly forest","e-book","电子阅读器",0,0,0.0002
"firefly forest","expansion cards","扩展卡",0,0,0.0002
"firefly forest","end user","终端用户",0,0,0.0002
"firefly forest","e-cash","电子现金",0,0,0.0002
"firefly forest","e-commerce","电子商务",0,0,0.0002
"firefly forest","electronic cash","电子现金",0,0,0.0002
"firefly forest","electronic commerce","电子商务",0,0,0.0002
"firefly forest","electronic communications privacy act of1986","电子通信隐私法案",0,0,0.0002
"firefly forest","encrypting","加密术",0,0,0.0002
"firefly forest","energy star","能源之星",0,0,0.0002
"firefly forest","enterprise computing","企业计算化",0,0,0.0002
"firefly forest","environment","环境",0,0,0.0002
"firefly forest","erasable optical disks","可擦除式光盘",0,0,0.0002
"firefly forest","ergonomics","人类工程学",0,0,0.0002
"firefly forest","ethics","道德规范",0,0,0.0002
"firefly forest","external modem","外置调制解调器",0,0,0.0002
"firefly forest","extranet","企业外部网",0,0,0.0002
"firefly forest","fax machine","传真机",0,0,0.0002
"firefly forest","field","域",0,0,0.0002
"firefly forest","find","搜索",0,0,0.0002
"firefly forest","firewire port","火线端口",0,0,0.0002
"firefly forest","firmware","固件",0,0,0.0002
"firefly forest","flash ram","闪存",0,0,0.0002
"firefly forest","flatbed scanner","台式扫描器",0,0,0.0002
"firefly forest","flat-panel monitor","纯平显示器",0,0,0.0002
"firefly forest","floppy disk","软盘",0,0,0.0002
"firefly forest","formatting toolbar","格式化工具条",0,0,0.0002
"firefly forest","formula","公式",0,0,0.0002
"firefly forest","function","函数",0,0,0.0002
